row,"ground truth ( divided by , each item in ?�??�?)",group,random,semantic_sim,seperate
How far is it from Denver to Aspen ?,"""200 miles""",The distance from Denver to Aspen is approximately 158 miles (254 kilometers).,The distance from Denver to Aspen is approximately 200 miles.,The distance from Denver to Aspen is approximately 200 miles.,The distance from Denver to Aspen is approximately 200 miles (322 kilometers) by road.
How far is the service line from the net in tennis ?,"""21 feet"" | ""6.4 meters""",The service line in tennis is 21 feet (6.4 meters) from the net.,The service line is 21 feet (6.40 meters) from the net in tennis.,"In tennis, the service line is 21 feet or 6.4 meters away from the net.",The service line is 21 feet (6.4 meters) from the net in tennis.
How fast is alcohol absorbed ?,"""5 - 10"" | ""30 - 90"", ""min""",Alcohol is typically absorbed into the bloodstream at a rate of about one standard drink (14 grams) per hour.,"Alcohol is absorbed rapidly, within 5 to 10 minutes after drinking, and is usually fully absorbed in about 30 to 90 minutes.",Alcohol is typically absorbed into the bloodstream between 30 minutes to 2 hours after ingestion.,"Alcohol is absorbed fairly quickly in the body. Some is absorbed directly in the mouth and throat, but most is absorbed in the stomach and small intestine, usually within 30 minutes to 2 hours after ingestion. It can be detected in the blood within minutes. Factors such as the individual's weight, metabolism, the type and amount of alcohol consumed, and whether it is consumed on an empty or full stomach, can affect the rate of absorption."
How fast is sound ?,"""343"" | ""767"", ""meters per second"" | ""miles per hour"" | ""mph""","The speed of sound is approximately 343 meters per second (or about 767 mph), in dry air at room temperature.",The speed of sound is approximately 343 meters per second in air at room temperature and atmospheric pressure.,Sound travels at a speed of approximately 343 meters per second in air.,"The speed of sound varies depending on the medium through which it travels. In air at sea level at a temperature of 20 degrees Celsius, sound travels at approximately 343 meters per second (about 1235 km/h, 767 mph). In water, it travels faster, about 1500 meters per second (5400 km/h, 3350 mph). In steel, it travels at approximately 5000 meters per second (18000 km/h, 11180 mph)."
How fast is the speed of light ?,"""299,792"" | ""186282"",  ""kilometers per second"" | ""186,282 miles per second""","The speed of light is approximately 299,792 kilometers per second (or about 186,282 miles per second).","The speed of light is approximately 299,792 kilometers per second.","The speed of light is approximately 299,792 kilometers per second.","The speed of light is approximately 299,792 kilometers per second (186,282 miles per second)."
How long did Rip Van Winkle sleep ?,"""20 years""",Rip Van Winkle slept for 20 years.,Rip Van Winkle slept for 20 years.,Rip Van Winkle slept for 20 years.,Rip Van Winkle slept for 20 years.
How long is the Columbia River in miles ?,"""1243 miles""","The Columbia River is approximately 1,243 miles long.","The Columbia River is approximately 1,243 miles long.","The Columbia River is approximately 1,243 miles long.","The Columbia River is approximately 1,243 miles long."
How many Admirals are there in the U.S. Navy ?,"""60""","The number of Admirals in the U.S. Navy can vary depending on retirements, promotions, and appointments but there are typically about 60 active-duty Admirals at any given time.","The number of Admirals in the U.S. Navy varies over time due to promotions, retirements, and other factors. As of the end of 2017, there were about 220 active-duty officers with the rank of admiral.","The number of Admirals in the U.S. Navy can vary, but as of 2021, there are approximately 220.","The number of Admirals in the U.S. Navy can vary based on the requirements of the service. There are four ranks of Admirals: Rear Admiral (Lower Half), Rear Admiral, Vice Admiral, and Admiral. Typically, there are about 160-180 Admirals serving at any given time including all ranks. However, the number can change as individuals retire, are promoted, or leave the service. The specific number can be obtained at a specific point in time from the United States Navy."
How many Great Lakes are there ?,"""5"" | ""Five""",There are 5 Great Lakes.,There are five Great Lakes.,There are five Great Lakes.,There are five Great Lakes.
How many feet in a mile ?,"""5280"" | ""5,280""","There are 5,280 feet in a mile.",There are 5280 feet in a mile.,There are 5280 feet in a mile.,"There are 5,280 feet in a mile."
How many gallons of water are there in a cubic foot ?,"""7.48""",There are approximately 7.48 gallons of water in a cubic foot.,There are approximately 7.48 gallons of water in a cubic foot.,There are approximately 7.48 gallons of water in a cubic foot.,There are approximately 7.48 gallons of water in a cubic foot.
How many hearts does an octopus have ?,"""three"" | ""3""",An octopus has three hearts.,An octopus has three hearts.,An octopus has three hearts.,An octopus has three hearts.
How many liters in a gallon ?,"""3.78541"" | ""3.79"" | ""3.80""",There are approximately 3.78541 liters in a gallon.,There are approximately 3.78541 liters in a gallon.,There are approximately 3.78541 liters in a gallon.,There are approximately 3.78541 liters in a gallon.
How many pounds in a ton ?,"""2000"" | ""2204.62""",There are 2000 pounds in a ton.,There are 2000 pounds in a ton.,There are 2000 pounds in a ton.,There are 2000 pounds in a ton.
How much does the human adult female brain weigh ?,"""1.2 kilograms"" | ""1.2 kg"" | ""2.6 pounds"" | ""2.6 lbs""","The human adult female brain weighs about 1,273 grams (2.8 pounds) on average.",The average weight of the human adult female brain is approximately 1.2 kilograms or 2.6 pounds.,The human adult female brain weighs approximately 2.8 pounds or 1250 grams.,The adult female brain weighs about 1.2 kg (2.6 lbs).
How much does water weigh ?,"""8.34"" | ""1"", ""pounds"" | ""kilograms"" | ""kg"", ""gallon"" | ""liter""","The weight of water varies depending on its volume, but for reference, one gallon of water weighs approximately 8.34 pounds (3.78 kg) at room temperature.","The weight of water depends on its volume. However, one gallon of water approximately weighs 8.34 pounds.",Water weighs approximately 1 kilogram per liter.,"1 liter of water weighs approximately 1 kilogram, which is equal to about 2.2 pounds."
How much fiber should you have per day ?,"""25"", ""38"", ""to"" | ""-"", ""grams""",You should have about 25-30 grams of fiber per day.,It's recommended that you should have 25 to 38 grams of fiber per day.,"The recommended daily intake of fiber for adults is 25 grams for women and 38 grams for men. After the age of 50, the recommendation drops to 21 grams for women and 30 grams for men.",The daily recommended intake of fiber is about 25 grams for women and 38 grams for men.
How much of an apple is water ?,"""85%"" | ""85 percent""",Approximately 84% of an apple is water.,Approximately 86% of an apple is water.,Approximately 85% of an apple is water.,Approximately 85% of an apple is water.
How much was a ticket for the Titanic ?,"""$4350"" | ""4350"" | ""$3500""",The price of a ticket for the Titanic varied based on the class of accommodation. The cost for a First Class ticket was around $150 (approximately $3500 today when adjusted for inflation). :,"A first-class ticket for the Titanic cost around $2,560 in today's dollars.","The price of a ticket for the Titanic varied based on class and accommodation, ranging from about $18 (around $460 today when adjusted for inflation) for a third-class ticket to $4350 in today's dollars for a first-class ticket.","The cost of a ticket on the Titanic varied greatly depending on the class and type of accommodation. The most expensive First-Class tickets cost approximately $4,350 (in today's money), while the cheapest Third-Class ticket was around $40 (in today's money)."
How often does Old Faithful erupt at Yellowstone National Park ?,"""60 to 110 minutes""",Old Faithful at Yellowstone National Park erupts approximately every 44 to 125 minutes.,Old Faithful at Yellowstone National Park erupts approximately every 90 minutes.,Old Faithful erupts at Yellowstone National Park approximately every 60 to 110 minutes.,Old Faithful erupts approximately every 60 to 110 minutes.
How old do you have to be in order to rent a car in Italy ?,"""21""",You have to be at least 21 years old to rent a car in Italy.,"In Italy, you must be at least 21 years old to rent a car.",You have to be 21 years old in order to rent a car in Italy.,"The minimum age to rent a car in Italy is typically 21 years old, however, the age may vary by car category. Some suppliers have a maximum age limit of 75 years old."
How old was Elvis Presley when he died ?,"""42""",Elvis Presley was 42 years old when he died.,Elvis Presley was 42 years old when he died.,Elvis Presley was 42 years old when he died.,Elvis Presley was 42 years old when he died.
How old was Joan of Arc when she died ?,"""19""",Joan of Arc was 19 years old when she died.,Joan of Arc was 19 years old when she died.,Joan of Arc was 19 years old when she died.,Joan of Arc was 19 years old when she died.
How old was the youngest president of the United States ?,"""42""","The youngest president of the United States, Theodore Roosevelt, was 42 years old when he assumed office.","The youngest president of the United States was Theodore Roosevelt, who was 42 years old when he took office.","The youngest president of the United States, Theodore Roosevelt, was 42 years old when he took office.","The youngest president of the United States, Theodore Roosevelt, was 42 years old when he took office."
"How tall is the Gateway Arch in St. Louis , MO ?","""630 feet"" | ""192 meters""","The Gateway Arch in St. Louis, MO is 630 feet (192 meters) tall.","The Gateway Arch in St. Louis, MO is 630 feet (192 meters) tall.","The Gateway Arch in St. Louis, MO is 630 feet tall.","The Gateway Arch in St. Louis, MO is 630 feet tall."
How tall is the Sears Building ?,"""1450 feet"" | ""442 meters""","The Sears Tower, currently known as the Willis Tower, in Chicago stands 1,450 feet (442 meters) tall.","The Sears Building, now known as the Willis Tower, is approximately 1,450 feet (442 meters) tall.","The Sears Building, now known as Willis Tower, is approximately 1,450 feet (442 meters) tall excluding its antennae.","The Sears Tower, now known as Willis Tower, is approximately 1,450 feet (442 meters) tall. If you include its antenna, it stands approximately 1,730 feet (520 meters) high."
How wide is the Milky Way galaxy ?,"""100,000 light-years""","The Milky Way galaxy is estimated to be about 100,000 light-years wide.","The Milky Way galaxy is approximately 100,000 light years wide.","The Milky Way galaxy is approximately 100,000 light-years wide.","The Milky Way galaxy is approximately 100,000 light-years in diameter."
"In Poland , where do most people live ?","""urban areas"" | ""cities""","Most people in Poland live in urban areas, particularly in and around major cities such as Warsaw, Krakow, and Lodz.","In Poland, most people live in urban areas, with the highest concentration in the capital city of Warsaw.","In Poland, the majority of people live in urban areas. The most populous city is Warsaw, the capital. Other major cities include Krak??w, ????d??, and Wroc??aw.","Most people in Poland live in urban areas such as Warsaw, Krak??w, ????d??, Wroc??aw, and Pozna??. The capital city, Warsaw, is the most populous city in the country."
In the late 1700 's British convicts were used to populate which colony ?,"""Australia""","In the late 1700's, British convicts were used to populate the colony of Australia.","In the late 1700's, British convicts were used to populate the colony of Australia.","In the late 1700s, British convicts were used to populate the colony of Australia.",The colony was Australia.
In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?,"""Freedom 7""",U.S. astronaut Alan Shepard made his historic 1961 flight in the spacecraft Freedom 7.,U.S. astronaut Alan Shepard made his historic 1961 flight in the spacecraft Freedom 7.,U.S. astronaut Alan Shepard made his historic 1961 flight in the spacecraft Freedom 7.,Alan Shepard made his historic 1961 flight in the spacecraft Freedom 7.
In which state would you find the Catskill Mountains ?,"""New York""",The Catskill Mountains are located in the state of New York.,You would find the Catskill Mountains in the state of New York.,You would find the Catskill Mountains in the state of New York.,You would find the Catskill Mountains in New York.
Material called linen is made from what plant ?,"""Flax plant""",The material called linen is made from the Flax plant.,The material called linen is made from the flax plant.,Linen is made from the Flax plant.,Linen is made from the flax plant.
"Mercury , what year was it discovered ?","""Not known"" | ""1541"" | ""1543""",Mercury was discovered in the year 1541.,"Mercury was known to the ancient Greeks and it wasn't ""discovered"" in the modern sense of the word. However, it was first recognized as a separate element in 1543.","Mercury, as a planet, was known to ancient civilizations and therefore doesn't have a discovery year in the modern sense. However, Mercury as an element was reportedly discovered in 2000 BC.",Mercury has been known since ancient times and does not have a known date of discovery.
Mexican pesos are worth what in U.S. dollars ?,"""0.055"" | ""0.05""","The current exchange rate between Mexican pesos and U.S. dollars fluctuates based on the global foreign exchange market. As of February 2022, 1 Mexican peso equals approximately 0.05 U.S. dollars.:","The value of Mexican pesos in U.S. dollars is subject to change based on current exchange rates. As of February 2022, 1 Mexican peso is roughly equivalent to 0.05 U.S. dollars, but it is recommended to check the current exchange rate for accurate conversion.",The value of Mexican pesos in U.S. dollars fluctuates regularly based on international exchange rates. It's best to check a recent currency converter for the current rate.,"The exchange rate varies and you will need to check the current rate. As of 11th February 2022, 1 Mexican peso is approximately equal to 0.05 U.S. dollars."
Name a food high in zinc .,"""Oysters""",Oysters are a food high in zinc.,Oysters are a food that is high in zinc.,Oysters are food high in zinc.,Oysters
Name a stimulant .,"""caffeine""","A stimulant such as caffeine can be named, which is found in drinks like coffee and tea. It acts on the central nervous system to increase alertness and physical activity.",A common stimulant is caffeine.,One example of a stimulant is caffeine.,Caffeine
The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?,"""Civil war""",The U.S. Department of Treasury first issued paper currency for the U.S. during the Civil War. ,The U.S. Department of Treasury first issued paper currency for the U.S. during the Civil War.,The U.S. Department of Treasury first issued paper currency for the U.S. during the Civil War.,The U.S. Department of Treasury first issued paper currency for the U.S. during the Civil War.
"The sun 's core , what is the temperature ?","""15 milion degrees Celsius""",The temperature of the sun's core is approximately 15 million degrees Celsius.,The Sun's core temperature is approximately 15 million degrees Celsius.,The sun's core temperature is approximately 15 million degrees Celsius.,The core of the sun is approximately 15 million degrees Celsius (27 million degrees Fahrenheit).
What 's the easiest way to remove wallpaper ?,"""wallpaper steamer"" | ""wallpaper remover"" | ""vinegar""","The easiest way to remove wallpaper is by using a wallpaper steamer. This device uses heat to break down the adhesive that holds the wallpaper to the wall, making it easier to peel off. Alternatively, a solution of warm water and vinegar or a commercial wallpaper stripper can also be used. Make sure to score the wallpaper first before applying these solutions to allow them to penetrate and loosen the adhesive.","The easiest way to remove wallpaper is by using a mixture of vinegar and hot water. First, score the wallpaper with a wallpaper scoring tool. Then, apply the vinegar mixture with a sponge or spray bottle. Finally, peel off the paper with a putty knife.","The easiest way to remove wallpaper is to use a mixture of hot water and vinegar, or a commercial wallpaper stripper solution. After applying the solution, you should let it soak then scrape off the wallpaper with a putty knife or scraper.","1. Protect Floors: Start by covering your floors with a canvas drop cloth or some plastic sheets. This will protect your floors from the water and wallpaper paste. 
2. Loosen the Wallpaper: Try to peel off the wallpaper manually. Start from a corner and peel it towards the center. Some wallpapers come off easily but some may be stubborn.
3. Use a Wallpaper Steamer: Rent or buy a wallpaper steamer. The steam will soften the adhesive and make removing the wallpaper much easier.
   
4. Use a Wallpaper Stripper Solution: If the steamer method is not possible, you could also use a wallpaper stripper solution, which you can buy from any home improvement or painter?�?s shop. Dissolve the solution into a bucket of hot water, then apply it to the wallpaper using a sponge or a spray bottle. 
5. Scoring Tool: If the wallpapers are highly water-resistant, use a scoring tool to make small holes in the wallpaper. This will allow the steam or stripper solution to penetrate deeper and work more effectively.
   
6. Scrape: Once the adhesive has softened, use a putty knife to scrape off the wallpaper. Be gentle to avoid damaging the wall.
   
7. Scrub Off Remaining Adhesive: Use a sponge and a mixture of hot water and dishwasher detergent to scrub off any remaining adhesive from the wall.
   
8. Primer: Once the wall surface has fully dried, apply a primer. This will prepare the wall for painting, or the application of new wallpaper.
   
Remember to always use protective eyewear and gloves when you?�?re removing wallpaper."
What American composer wrote the music for `` West Side Story '' ?,"""Leonard Bernstein""","The American composer who wrote the music for ""West Side Story"" is Leonard Bernstein.","The American composer who wrote the music for ""West Side Story"" is Leonard Bernstein.","The American composer who wrote the music for ""West Side Story"" is Leonard Bernstein.",Leonard Bernstein
What Canadian city has the largest population ?,"""Toronto""",The Canadian city with the largest population is Toronto.,The Canadian city with the largest population is Toronto.,The Canadian city with the largest population is Toronto.,The Canadian city with the largest population is Toronto.
What French province is cognac produced in ?,"""Charente""",Cognac is produced in the French province of Charente.,Cognac is produced in the French province of Charente and Charente-Maritime.,Cognac is produced in the French province of Charente.,Cognac is produced in the Charente and Charente-Maritime provinces of France.
What French ruler was defeated at the battle of Waterloo ?,"""Napoleon Bonaparte""",The French ruler defeated at the Battle of Waterloo was Napoleon Bonaparte.,The French ruler who was defeated at the battle of Waterloo is Napoleon Bonaparte. ,The French ruler who was defeated at the Battle of Waterloo was Napoleon Bonaparte.,Napoleon Bonaparte
What New York City structure is also known as the Twin Towers ?,"""the World Trade Center""",The New York City structure also known as the Twin Towers is the World Trade Center.,The New York City structure also known as the Twin Towers is the World Trade Center.,The Twin Towers refer to the original World Trade Center.,The World Trade Center.
What U.S. state 's motto is `` Live free or Die '' ?,"""New Hampshire""","The U.S. state whose motto is ""Live Free or Die"" is New Hampshire.","The U.S. state whose motto is ""Live free or Die"" is New Hampshire.","The U.S state with the motto ""Live free or Die'' is New Hampshire.","The U.S. state with the motto ""Live Free or Die"" is New Hampshire."
What are Aborigines ?,"""indigenous Australians"" | ""indigenous people of Australia""","Aborigines are the indigenous people of Australia. They are believed to have lived on the continent for at least 65,000 years, making them the world's oldest living culture. Aborigines have a rich cultural heritage with diverse languages, ceremonies, and traditions.:","Aborigines are the indigenous people of Australia, who were the continent?�?s original inhabitants. They have a history that dates back around 60,000 years.",Aborigines are the indigenous people of Australia. They are believed to be among the earliest human migrations out of Africa and have a rich and unique culture and history.,"Aborigines are the indigenous people of Australia. They were the first known human inhabitants of the Australian continent and its nearby islands, with evidence suggesting their presence dating back at least 65,000 years. The term ""Aborigines"" is often used to refer to all groups of indigenous Australians, including Torres Strait Islander people. They maintained a hunter-gatherer culture for thousands of years, living in clans with their own distinct languages, customs, and traditions."
What are Canada 's two territories ?,"""Yukon"", ""Northwest Territories""","Canada's three territories are Yukon, Northwest Territories, and Nunavut.",Canada's two territories are Yukon and Northwest Territories.,"Canada's two territories are Northwest Territories and Yukon. However, Canada actually has three territories in total, the third one is Nunavut.","Canada has three territories, not two. They are Yukon, Northwest Territories, and Nunavut."
What are Quaaludes ?,"""sedative drug"" | ""methaqualone""",Quaaludes are a type of sedative drug that was widely used in the 1970s and early 1980s. It was later banned in many countries due to its high potential for abuse and addiction.:,Quaaludes are a type of sedative-hypnotic drug that was popular in the 1960s and 1970s. They are not used medicinally today and are illegal in many countries due to their high potential for abuse and addiction.,"Quaaludes are a synthetic, barbiturate-like, central nervous system depressant. They were popular in the 1960s and 1970s as a recreational drug. The drug, also known as Methaqualone, has been illicit in the United States since 1984.","Quaaludes are a type of sedative and sleep-inducing drug that became popular as a recreational drug in the 1960s and 1970s. The drug, formally known as methaqualone, was originally developed in the 1950s as a safe alternative to barbiturates to treat insomnia and anxiety. However, it was later found to be highly addictive and was made illegal in many countries, including the United States, in the 1980s."
What are amphibians ?,"""Cold-blooded vertebrates""","Amphibians are a group of cold-blooded vertebrates that includes frogs, toads, newts, and salamanders. They are characterized by their ability to exploit both aquatic and terrestrial habitats.:","Amphibians are a group of cold-blooded vertebrates that includes frogs, toads, salamanders, and newts. They have the unique ability to live both on land and water.","Amphibians are a group of cold-blooded vertebrates that includes frogs, toads, newts, and salamanders. They are generally characterized by their ability to breathe through their skin and to metamorphose from a juvenile, water-breathing form to an adult, air-breathing form.","Amphibians are a group of cold-blooded vertebrates that includes frogs, toads, salamanders, and newts. They are unique in their ability to live both on land and in water. Most amphibians have a two-stage life cycle, beginning as aquatic larvae and transitioning to terrestrial adults. They are also known for their permeable skin, through which oxygen and carbon dioxide can pass, enabling them to breathe."
What are antacids ?,"""neutralize stomach acidity"" | ""neutralize stomach acid""","Antacids are over-the-counter medications that help neutralize stomach acid. They're used to relieve heartburn, acid reflux or acid indigestion.:","Antacids are over-the-counter medications that help neutralize stomach acid. They are used to relieve heartburn, acid indigestion, and an upset stomach.",Antacids are over-the-counter medications that help neutralize stomach acid. They can provide quick relief from heartburn or indigestion by reducing the acidity in your stomach.,"Antacids are over-the-counter medications that help neutralize stomach acid. They can help relieve heartburn, acid indigestion, and an upset or sour stomach. They work by neutralizing the acid in the stomach and by inhibiting pepsin, which is a type of protein that can damage the stomach lining when it's too acidic. Common ingredients in antacids include magnesium, calcium, and aluminum."
What are capers ?,"""flower buds""","Capers are small flower buds that are usually pickled and used as a seasoning or garnish in various dishes. They come from the Capparis spinosa plant, which is native to the Mediterranean.:","Capers are small edible flower buds that are often pickled or salted; they are used as a seasoning or garnish in various recipes, particularly in Mediterranean cuisine.","Capers are small flower buds that are often pickled and used as a condiment or garnish in various dishes, particularly in Mediterranean cuisine.","Capers are small, round, dark green buds that come from the caper bush (Capparis spinosa). They are often pickled or salted and used as a seasoning or garnish in various dishes like salads, pizzas, pasta, and fish. They have a sharp, tangy, and slightly lemony flavor."
What are cigarettes made of ?,"""dried tobacco leaves""","Cigarettes are primarily made of tobacco, which is the dried leaves of the Nicotiana plant. They also include a filter and a paper wrap, along with various additives, including flavorings and chemicals to control the burn rate.:",Cigarettes are made of shredded or processed tobacco that's wrapped in paper.,Cigarettes are made of finely cut tobacco leaves wrapped in thin paper. They can also contain additives for flavor and to make smoking more pleasant. The smoke from cigarettes is a complex mixture of chemicals produced by the burning of tobacco and its additives.,"Cigarettes are made of several components including:
1. Tobacco: This is the main ingredient in a cigarette. The tobacco leaves are cured and aged to develop flavor before they're used in cigarettes.
2. Additives: These include sugars, humectants, ammonia compounds, cocoa and licorice, among others. Some additives are used to make the smoke smoother and less harsh, while others enhance the taste.
3. Nicotine: This is a highly addictive substance found naturally in tobacco. It stimulates the central nervous system, creating a pleasurable sensation that makes smokers want to continue smoking.
4. Paper: This the outer cover that holds all the ingredients together.
5. Filter: Most cigarettes have a filter on the end which is made from cellulose acetate. It is designed to reduce the amount of tar and other harmful substances that are inhaled during smoking.
6. Various harmful chemicals: When a cigarette is lit and smoked, it produces thousands of chemicals, including harmful carcinogens like polycyclic aromatic hydrocarbons, N-nitrosamines, benzene, formaldehyde, and more. These chemicals are toxic and can cause various health problems, including cancer.
  
Remember, cigarettes are harmful and addictive. They can lead to various health issues including cancer, heart disease, and lung disease among others."
What are coral reefs ?,"""underwater ecosystems""",Coral reefs are underwater ecosystems characterized by reef-building corals. Reefs are formed of colonies of coral polyps held together by calcium carbonate. They are home to a diverse range of marine life and are important for the health of the world's oceans.:,Coral reefs are underwater ecosystems characterized by reef-building corals. They are formed of colonies of coral polyps held together by calcium carbonate. ,Coral reefs are underwater structures made from calcium carbonate secreted by corals. Coral reefs are colonies of tiny living animals found in marine waters that contain few nutrients. These structures are diverse and serve as a habitat for many different marine species.,"Coral reefs are underwater ecosystems characterized by reef-building corals. They are formed of colonies of tiny animals found in marine waters that contain few nutrients. Reefs grow best in warm, shallow, clear, sunny and agitated water. Often called ""rainforests of the sea"", coral reefs form some of the most diverse ecosystems on Earth. They occupy less than 0.1% of the world's ocean area, about half the area of France, yet they provide a home for at least 25% of all marine species."
What are enzymes ?,"""biological molecules"" | ""proteins"" | ""molecules""","Enzymes are proteins that act as biological catalysts. They speed up chemical reactions that take place in cells, enabling the body to build up or break down molecules quickly and efficiently.:",Enzymes are proteins that act as biological catalysts. They speed up chemical reactions in living cells.,"Enzymes are biological molecules, often proteins, that speed up chemical reactions in cells. They act as catalysts in the body, helping to carry out functions such as metabolism, DNA replication, and protein synthesis.","Enzymes are proteins that act as biological catalysts in the body. They speed up chemical reactions in all living cells, enabling the body to build, maintain and break down materials as needed for biological processes. Each enzyme is specific to a particular reaction or group of similar reactions."
What are ethics ?,"""moral principles""","Ethics are moral principles that govern a person's behaviour or the conducting of an activity. They are standards of right and wrong that prescribe what people ought to do, usually in terms of duties, benefits to society, fairness, or specific virtues.",Ethics are moral principles that govern a person's behavior or the conducting of an activity. They reflect a person's or society's beliefs about what is right and wrong.,Ethics are moral principles that govern a person's behavior or the conducting of an activity. They are the rules of conduct recognized in respect to a particular class of human actions or a particular group or culture.,"Ethics refers to the moral principles that govern a person's behavior or the operational activity of a social group or organization. It involves systematizing, defending, and recommending concepts of right and wrong behavior. Ethics seeks to resolve questions of human morality by defining concepts such as good and evil, right and wrong, virtue and vice, justice and crime."
What are invertebrates ?,"""Animals without backbones"" | ""no backbone animals"" | ""animals that do not have a backbone""","Invertebrates are animals that do not have a backbone or vertebral column. This is the largest group of animals on the planet, accounting for more than 97% of all known species. This group includes many types of invertebrates like insects, annelids (earthworms), mollusks (snails, octopuses, and clams), arachnids (spiders and scorpions), crustaceans (shrimps, lobsters, and crabs), and more.:",Invertebrates are animals that do not possess or develop a vertebral column (commonly known as a backbone or spine).,"Invertebrates are animals that do not have a backbone or spinal column. Examples include mollusks, arthropods, and insects.","Invertebrates are animals that do not have a backbone or spinal column. This includes a wide range of animals such as insects, spiders, snails, clams, starfish, and many others. Invertebrates make up about 95% of all animal species on Earth. Unlike vertebrates, invertebrates do not have a skeleton of bone, instead some have exoskeletons, while others are not made of solid matter."
What are pathogens ?,"""microorganisms"", ""disease"" | ""harmful"" | ""harm""","Pathogens are microorganisms - such as bacteria, viruses, and fungi - that cause disease in hosts such as humans and animals. Pathogens can spread from one host to another, causing local or widespread illnesses.:","Pathogens are microorganisms that cause disease. They can be bacteria, viruses, fungi, or parasites.","Pathogens are microorganisms, such as bacteria, viruses, fungi, or parasites, that can cause disease in humans, animals, and plants. They can spread in a variety of ways, including through direct contact, air, food, water, or vectors like insects.","Pathogens are microorganisms - such as bacteria, viruses, and fungi - that cause disease in humans and other organisms. They can be transmitted in a variety of ways, including through air, water, food, and bodily fluids. Not all microorganisms are pathogens; many are harmless or even beneficial."
